/net02 X,/net02 Y
0,0
1.5e-11,0
4.5e-11,0
1.05e-10,0
2.25e-10,0
4.65e-10,0
7.649999999999999e-10,0
1.065e-09,0
1.365e-09,0
1.665e-09,0
1.8325e-09,0
2e-09,0
2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,0.1453250720033182
2.400273538304042e-09,0.2223741879466899
2.45545026156496e-09,0.2530279230916445
2.483038623195419e-09,0.2683547906641217
2.538215346456337e-09,0.2990085258090762
2.560737121398752e-09,0.3115206229993069
2.57199800886996e-09,0.3177766715944223
2.594519783812376e-09,0.3302887687846532
2.619292015544444e-09,0.3440511197469133
2.64050376976553e-09,0.3558354276475166
2.660686031888228e-09,0.3670477954934598
2.682055619276811e-09,0.3789197884871169
2.701703988604451e-09,0.3898355492246949
2.725079201383632e-09,0.402821778546462
2.75339984265997e-09,0.4185554681444278
2.784176825806478e-09,0.4356537921147099
2.81289547710288e-09,0.4516085983904886
2.842817606891018e-09,0.4682320038283434
2.867139585824191e-09,0.4817442143467727
2.895104265130504e-09,0.4972801472947243
2.921090929981856e-09,0.5117171833232534
2.973064259684561e-09,0.5405912553803117
3.015890532229342e-09,0.5643836290163008
3.059187524506088e-09,0.5884375136144936
3.070300109813151e-09,0.5946111721184174
3.092525280427277e-09,0.606958489126265
3.099684254192638e-09,0.6109356967736878
3.11400220172336e-09,0.6188901120685332
3.124927069161161e-09,0.6249594828673118
3.135313259469622e-09,0.6307295885942346
3.147649716046215e-09,0.6375831755812303
3.157684697106807e-09,0.6431581650593373
3.160409149076884e-09,0.6446717494871577
3.165858053017037e-09,0.6476989183427982
3.176755860897343e-09,0.6537532560540795
3.184473711923411e-09,0.6580409510685618
3.195005775382811e-09,0.663892097434895
3.202561376917881e-09,0.6680896538432671
3.210983694765008e-09,0.672768719313893
3.218019528719486e-09,0.67667751595527
3.224396214354787e-09,0.680220119085993
3.231792182647617e-09,0.6843289903597871
3.239450017289909e-09,0.6885833429388384
3.246950576671369e-09,0.692750320372983
3.254159774186144e-09,0.6967554301034133
3.261467768605254e-09,0.7008154270029191
3.267074194806614e-09,0.7039301082258969
3.271528878231172e-09,0.7064049323506512
3.275483799290219e-09,0.708602110716788
3.279521450285835e-09,0.7108452501587974
3.282944038260584e-09,0.7127466879225466
3.28637645647291e-09,0.7146535869293947
3.289553096581522e-09,0.7164183869897345
3.29192825146671e-09,0.7177379174815058
3.294779346932001e-09,0.7193218594066675
3.298096996795038e-09,0.7211649982194654
3.302129547271583e-09,0.7234053040397683
3.305053033735533e-09,0.725029463186407
3.307772050615189e-09,0.7265400281195492
3.310486922532142e-09,0.7280482902956346
3.313380909621771e-09,0.729656060900984
3.315831359819615e-09,0.7310174221220084
3.318484376317912e-09,0.7324913201766179
3.322077758527402e-09,0.7344876436263347
3.324817841878597e-09,0.7360099121547758
3.327786229055019e-09,0.7376590161416769
3.330762439682425e-09,0.7393124664902359
3.333407541206182e-09,0.7407819673367675
3.335932447044209e-09,0.7421846928023381
3.338072524935869e-09,0.7433736249643716
3.340638034999327e-09,0.7447989083329594
3.34345379339021e-09,0.7463632185501166
3.346189695449737e-09,0.7478831641387427
3.349080148825364e-09,0.7494889715696464
3.351618240562214e-09,0.7508990225345631
3.354233821513713e-09,0.7523521230631737
3.357088987291139e-09,0.753938326272855
3.359734590279723e-09,0.7554081057109572
3.361815584382704e-09,0.7565642135459467
3.363800636498862e-09,0.7576670202771453
3.365051950252838e-09,0.7583621945849102
3.366762987691713e-09,0.7593127709398406
3.368170822656594e-09,0.7600949014758854
3.369653633269276e-09,0.7609186851495975
3.371483068905985e-09,0.7619350382811027
3.373298924886905e-09,0.7629438471593913
3.375603272659183e-09,0.7642240403662125
3.378180334244505e-09,0.7656557412469474
3.381100974100474e-09,0.7672783189447079
3.384379985267054e-09,0.7690999918150297
3.388450689826756e-09,0.7713614943481977
3.393796828818951e-09,0.774331571566084
